"Y","A","L","S","C"
9.59050506605044,1,1.37095844714667,1,0
NA,NA,-0.564698171396089,0,0
5.6183652275991,1,0.363128411337339,1,0
6.18331072933449,1,0.63286260496104,1,0
6.71991337143485,1,0.404268323140999,1,0
3.11204143644968,1,-0.106124516091484,1,0
9.55058944819525,1,1.51152199743894,1,0
3.4753782157012,1,-0.0946590384130976,1,0
5.91921145181498,0,2.01842371387704,1,0
NA,NA,-0.062714099052421,0,0
NA,1,1.30486965422349,1,1
NA,NA,2.28664539270111,0,0
NA,NA,-1.38886070111234,0,0
NA,NA,-0.278788766817371,0,0
NA,NA,-0.133321336393658,0,0
NA,NA,0.635950398070074,0,0
NA,NA,-0.284252921416072,0,0
NA,NA,-2.65645542090478,0,0
NA,NA,-2.44046692857552,0,0
7.78867150993441,1,1.32011334573019,1,0
NA,NA,-0.306638594078475,0,0
NA,0,-1.78130843398,1,1
NA,NA,-0.171917355759621,0,0
NA,NA,1.2146746991726,0,0
NA,NA,1.89519346126497,0,0
3.95957507387668,1,-0.4304691316062,1,0
NA,NA,-0.25726938276893,0,0
NA,NA,-1.76316308519478,0,0
NA,1,0.460097354831271,1,1
NA,NA,-0.639994875960119,0,0
NA,NA,0.455450123241219,0,0
NA,1,0.704837337228819,1,1
NA,1,1.03510352196992,1,1
NA,NA,-0.608926375407211,0,0
NA,NA,0.50495512329797,0,0
NA,NA,-1.71700867907334,0,0
NA,NA,-0.784459008379496,0,0
NA,NA,-0.850907594176518,0,0
NA,NA,-2.41420764994663,0,0
NA,1,0.0361226068922556,1,1
NA,1,0.205998600200254,1,1
NA,NA,-0.361057298548666,0,0
2.79006582208756,0,0.758163235699517,1,0
NA,NA,-0.726704827076575,0,0
NA,NA,-1.36828104441929,0,0
9.05021895000117,1,0.432818025888717,1,0
NA,NA,-0.811393176186672,0,0
NA,NA,1.44410126172125,0,0
NA,0,-0.431446202613345,1,1
NA,1,0.655647883402207,1,1
NA,1,0.321925265203947,1,1
NA,NA,-0.783838940880375,0,0
5.47339250203463,0,1.57572751979198,1,0
NA,NA,0.642899305717316,0,0
NA,NA,0.0897606465996056,0,0
NA,1,0.276550747291463,1,1
NA,NA,0.679288816055271,0,0
5.39077369568662,1,0.0898328865790817,1,0
NA,NA,-2.99309008315293,0,0
NA,NA,0.284882953530659,0,0
NA,NA,-0.367234642740975,0,0
5.38019531735316,1,0.185230564865609,1,0
NA,1,0.581823727365507,1,1
NA,NA,1.39973682729268,0,0
NA,NA,-0.727292059474465,0,0
9.15103981077633,1,1.30254263204414,1,0
NA,NA,0.335848119752074,0,0
9.48987717310037,1,1.03850609869762,1,0
NA,NA,0.920728568290646,0,0
NA,NA,0.720878162866863,0,0
NA,NA,-1.04311893856785,0,0
NA,0,-0.0901863866107067,1,1
NA,NA,0.623518161999544,0,0
NA,NA,-0.953523357772344,0,0
5.54422604997857,1,-0.542828814573857,1,0
7.6289477850962,1,0.580996497681682,1,0
NA,1,0.768178737834591,1,1
NA,NA,0.463767588540167,0,0
NA,NA,-0.88577629740968,0,0
NA,NA,-1.09978089864786,0,0
NA,1,1.51270700980493,1,1
NA,NA,0.257921437532031,0,0
NA,1,0.0884402291595863,1,1
NA,NA,-0.120896537539089,0,0
NA,NA,-1.19432889516053,0,0
NA,NA,0.611996898040387,0,0
NA,NA,-0.217139845746521,0,0
NA,NA,-0.182756706331922,0,0
NA,NA,0.93334632857116,0,0
NA,1,0.821773110508249,1,1
NA,NA,1.39211637593427,0,0
0.713147834395023,0,-0.476173923054674,1,0
6.02847199251498,1,0.650348560726305,1,0
4.6787902414792,0,1.39111045639,1,0
NA,NA,-1.1107888794479,0,0
NA,NA,-0.860792586877842,0,0
2.71677285415646,1,-1.13173868085377,1,0
NA,NA,-1.4592139995024,0,0
NA,NA,0.0799825532411612,0,0
4.64389419170174,0,0.65320433964919,1,0
4.46035671973906,0,1.20096537559849,1,0
3.30511034259217,0,1.04475108716773,1,0
NA,NA,-1.00320864683985,0,0
NA,1,1.84848190167275,1,1
NA,NA,-0.666773408757817,0,0
3.70725191436977,1,0.105513812456069,1,0
2.73936136945597,0,-0.422255881868856,1,0
NA,NA,-0.122350171954971,0,0
NA,NA,0.188193034501498,0,0
NA,NA,0.119160957997006,0,0
NA,NA,-0.0250925508674029,0,0
NA,NA,0.108072727942033,0,0
NA,NA,-0.485435235846668,0,0
NA,1,-0.504217130687903,1,1
NA,NA,-1.66109907991481,0,0
NA,NA,-0.382333726873818,0,0
NA,1,-0.5126502578778,1,1
NA,NA,2.7018910003448,0,0
NA,NA,-1.36211623118972,0,0
NA,NA,0.137256218558607,0,0
NA,NA,-1.49362506731629,0,0
NA,NA,-1.4704357414368,0,0
NA,NA,0.124702386197007,0,0
NA,NA,-0.996639134884037,0,0
3.33801891947537,1,-0.00182261430470819,1,0
NA,NA,-0.428258881425815,0,0
NA,NA,-0.613671606449495,0,0
NA,NA,-2.02467784541911,0,0
NA,NA,-1.22474795035999,0,0
NA,NA,0.179516441117938,0,0
1.20800974630436,0,0.567620594423535,1,0
NA,NA,-0.492877353553475,0,0
4.88554862563619,1,6.28840653511241e-05,1,0
NA,NA,1.12288964337997,0,0
NA,1,1.43985574297619,1,1
NA,NA,-1.09711376840582,0,0
NA,1,-0.117319560250177,1,1
3.22345125494769,0,1.2014984009197,1,0
NA,NA,-0.469729580566301,0,0
-0.536462266009543,0,-0.0524694849389963,1,0
NA,NA,-0.0861072982370895,0,0
NA,NA,-0.887679017906431,0,0
NA,NA,-0.444684004884738,0,0
NA,NA,-0.0294448790882381,0,0
1.65496906739725,0,-0.413868849057924,1,0
NA,1,1.1133860233682,1,1
4.5621294997148,1,-0.480992841653982,1,0
NA,NA,-0.433169032600729,0,0
5.54125858195458,1,0.696862576552103,1,0
NA,NA,-1.05636841317091,0,0
NA,NA,-0.0406984751512149,0,0
NA,NA,-1.55154482234759,0,0
3.72653459305362,0,1.16716954923568,1,0
0.361593993906087,0,-0.273645701374081,1,0
NA,NA,-0.467845324672254,0,0
1.43220110095394,0,-1.23825232798621,1,0
NA,NA,-0.00776203377732663,0,0
0.610958772670382,0,-0.80028217795166,1,0
NA,NA,-0.533492329950436,0,0
NA,0,1.28767524558459,1,1
3.30264766643312,0,-0.175525870242127,1,0
0.159122695241677,0,-1.07178238415068,1,0
NA,NA,0.163206882467382,0,0
1.57572585495896,0,-0.36273841562795,1,0
